Name,Node,Label,Describe
CONG TO HIEN THANH,973,CONG TO HIEN THANH,
CONG LY THUONG KIET,283,CONG LY THUONG KIET,
PTN VAT LIEU MOI,38,PTN VAT LIEU MOI,
B3,403,B3,
HO CA BACH KHOA,699,HO CA BACH KHOA,
VUON UOM DOANH NGHIEP,851,VUON UOM DOANH NGHIEP,
B1,599,B1,
B2,709,B2,
SAN BONG BACH KHOA,630,SAN BONG BACH KHOA,
B4,438,B4,
CAN TIN,160,CAN TIN,
B6,267,B6,
XUONG IN,52,XUONG IN,
C1,138,C1,
A1,914,A1,
THU VIEN A2,797,THU VIEN A2,
B8,711,B8,
B9,779,B9,
A5,749,A5,
A4,799,A4,
B10,898,B10,
C2,823,C2,
B7,701,B7,
B11,445,B11,
B12,251,B12,
C3,380,C3,
C4,149,C4,
C5,54,C5,
C6,15,C6,
CAN TIN C6,21,CAN TIN C6,
CONG TO HIEN THANH 2,975,CONG TO HIEN THANH 2,
A3,907,A3,
VAN PHONG DAO TAO QUOC TE A4,,A4,Lau 4 - Phong 402 - Nam ben trai thang may
PHONG DAO TAO A1,939,PHONG DAO TAO A1,
THU VIEN OISP A4,,A4,"Lau 5 - Phong 505 - Nam ben phai thang may, cuoi hanh lang"
PHONG THI NGHIEM KY THUAT MAY TINH C5,,C5,Lau 2 - Phong 202 â€“ Nam ngay cuoi hanh lang
HOI TRUONG B4,,B4,Tang tret nam ben phai toa nha
VAN PHONG KHOA MAY TINH A3,,A3,
KHOA KHOA HOC UNG DUNG B4,,B4,
KHOA XAY DUNG B6,,B6,
KHOA KY THUAT GIAO THONG C5,,C5,
KHOA DIEN - DIEN TU B1,,B1,
PHONG DAO TAO SAU DAI HOC B3,,B3,
PHONG KE HOACH VA TAI CHINH,685,PHONG KE HOACH VA TAI CHINH,
BAI XE LY THUONG KIET,40,BAI XE LY THUONG KIET,
BAI XE TO HIEN THANH,894,BAI XE TO HIEN THANH,
PHONG HOC VU OISP 402A4,,A4,
KHU TU HOC B9 - B10,854,KHU TU HOC B9 - B10,
KHU TU HOC B4,344,KHU TU HOC B4,
PHONG Y TE B7,,B7,
TRUNG TAM HO TRO SINH VIEN VA VIEC LAM,684,TRUNG TAM HO TRO SINH VIEN VA VIEC LAM,
PHONG CTCT,817,PHONG CTCT,
VP CONG TAC XA HOI,684,VP CONG TAC XA HOI,
