Node,X,Y
0,327,7780
1,327,7780
2,338,7874
3,341,7702
4,338,7874
5,341,7702
6,349,7968
7,349,7968
8,360,8062
9,360,8062
10,371,8155
11,371,8155
12,430,7669
13,430,7669
14,519,7637
15,519,7637
16,607,7604
17,607,7604
18,676,7579
19,676,7579
20,696,7571
21,696,7571
22,713,7666
23,713,7666
24,750,7752
25,750,7753
26,785,7539
27,787,7839
28,785,7539
29,787,7839
30,800,2024
31,800,2024
32,819,2117
33,819,2116
34,825,7926
35,825,7926
36,839,2208
37,862,2295
38,862,8013
39,862,2295
40,862,8013
41,873,7506
42,873,7506
43,899,8100
44,899,8100
45,912,8609
46,912,8609
47,924,2161
48,924,2161
49,936,8187
50,936,8187
51,951,4795
52,951,4795
53,962,7474
54,962,7474
55,973,8273
56,973,8274
57,989,4882
58,989,4882
59,999,8574
60,1000,8575
61,1007,2116
62,1010,8360
63,1007,2116
64,1011,8361
65,1027,4968
66,1027,4968
67,1048,8447
68,1051,7441
69,1048,8447
70,1051,7441
71,1063,5885
72,1065,5055
73,1063,5885
74,1065,5055
75,1086,8537
76,1090,2070
77,1090,2070
78,1096,5974
79,1096,5974
80,1103,5141
81,1103,5141
82,1114,7418
83,1114,7418
84,1120,5838
85,1120,5838
86,1128,6062
87,1128,6063
88,1139,7409
89,1141,5228
90,1140,7409
91,1141,5228
92,1150,7506
93,1150,7506
94,1161,6151
95,1161,6151
96,1173,2025
97,1172,3176
98,1176,8507
99,1172,3176
100,1173,2025
101,1179,5314
102,1176,8507
103,1179,5314
104,1186,7593
105,1186,7593
106,1194,6240
107,1194,6240
108,1204,6338
109,1209,5806
110,1204,6338
111,1210,3263
112,1209,5806
113,1210,3263
114,1216,6415
115,1217,5400
116,1217,6415
117,1222,7680
118,1217,5400
119,1226,6329
120,1222,7680
121,1228,7376
122,1227,6328
123,1228,7376
124,1249,3349
125,1253,6502
126,1249,3349
127,1255,1979
128,1256,5487
129,1253,6502
130,1257,7768
131,1255,1979
132,1256,5487
133,1258,7768
134,1264,8473
135,1264,8473
136,1287,3436
137,1289,6590
138,1287,3436
139,1291,6301
140,1294,5573
141,1289,6590
142,1294,7855
143,1291,6301
144,1297,5773
145,1294,5573
146,1294,7855
147,1297,5773
148,1317,7344
149,1317,7344
150,1325,3522
151,1326,6677
152,1325,3522
153,1329,7943
154,1326,6677
155,1332,5660
156,1329,7943
157,1332,5660
158,1338,1934
159,1342,4142
160,1338,1934
161,1342,4142
162,1353,8440
163,1353,8440
164,1362,6764
165,1363,3608
166,1365,8030
167,1362,6764
168,1363,3608
169,1370,5746
170,1365,8030
171,1370,5746
172,1378,6264
173,1378,6264
174,1386,5740
175,1389,4224
176,1386,5740
177,1392,4078
178,1389,4224
179,1392,4078
180,1399,6851
181,1401,8117
182,1401,3695
183,1399,6851
184,1401,3695
185,1406,7311
186,1401,8117
187,1406,7311
188,1421,1888
189,1422,6889
190,1421,1888
191,1422,6889
192,1428,1883
193,1436,4305
194,1437,8205
195,1439,3781
196,1436,4305
197,1437,8205
198,1441,8407
199,1440,3781
200,1441,8407
201,1449,6972
202,1448,6972
203,1465,4019
204,1466,6228
205,1466,4019
206,1465,6228
207,1473,8292
208,1475,5708
209,1478,3868
210,1473,8292
211,1475,5708
212,1476,4390
213,1478,3868
214,1484,4387
215,1484,7059
216,1484,4387
217,1484,7059
218,1494,7278
219,1494,7279
220,1504,1842
221,1504,1843
222,1508,8380
223,1509,6853
224,1509,6853
225,1509,8380
226,1516,3954
227,1519,4475
228,1516,3954
229,1520,7147
230,1519,4475
231,1520,7147
232,1529,8374
233,1530,8374
234,1553,6191
235,1553,4563
236,1556,7234
237,1553,6191
238,1554,4563
239,1556,7234
240,1563,5675
241,1564,7253
242,1563,5675
243,1564,7253
244,1576,4367
245,1576,4368
246,1587,1797
247,1588,4651
248,1587,1797
249,1588,4651
250,1597,6817
251,1599,7340
252,1597,6817
253,1599,7341
254,1618,8339
255,1618,8339
256,1623,4738
257,1623,4738
258,1635,7428
259,1640,6154
260,1635,7428
261,1640,6154
262,1645,7220
263,1645,7220
264,1652,5642
265,1652,5643
266,1658,4826
267,1658,4826
268,1667,6789
269,1669,4348
270,1669,1751
271,1670,7516
272,1668,6789
273,1668,4348
274,1669,1751
275,1670,7516
276,1685,6782
277,1685,6782
278,1693,4914
279,1693,4914
280,1700,1445
281,1701,6877
282,1700,1445
283,1701,6877
284,1706,7603
285,1706,8304
286,1706,7603
287,1706,8304
288,1712,4962
289,1712,4962
290,1727,5002
291,1727,6118
292,1727,5002
293,1727,6117
294,1732,1533
295,1733,7185
296,1735,6965
297,1733,1534
298,1733,7185
299,1735,6965
300,1741,7691
301,1741,7691
302,1752,1706
303,1752,1706
304,1759,5091
305,1759,4321
306,1759,4321
307,1759,5091
308,1765,1622
309,1768,7054
310,1765,1622
311,1768,7053
312,1773,6749
313,1776,7779
314,1773,6749
315,1776,7779
316,1791,5180
317,1793,8269
318,1791,5180
319,1797,1711
320,1793,8269
321,1797,1711
322,1802,7142
323,1804,4939
324,1802,7142
325,1807,7156
326,1804,4939
327,1807,7156
328,1812,7866
329,1814,6081
330,1812,7866
331,1814,6081
332,1823,5269
333,1826,1679
334,1823,5269
335,1829,1800
336,1826,1679
337,1829,1800
338,1843,7243
339,1847,7954
340,1843,7243
341,1850,4296
342,1847,7954
343,1850,4296
344,1855,5358
345,1855,5358
346,1861,1889
347,1862,6716
348,1862,1889
349,1862,6716
350,1879,7330
351,1881,8235
352,1882,8041
353,1879,7330
354,1881,8235
355,1887,5447
356,1881,8043
357,1882,8041
358,1887,5447
359,1894,1978
360,1896,4917
361,1894,1978
362,1896,4917
363,1901,6044
364,1901,6044
365,1914,1645
366,1915,7418
367,1918,8129
368,1918,5536
369,1915,1646
370,1916,7418
371,1918,8129
372,1919,5536
373,1926,2066
374,1926,2066
375,1939,4264
376,1939,4264
377,1950,5625
378,1950,6683
379,1952,7505
380,1950,6683
381,1951,5625
382,1952,7505
383,1958,2155
384,1958,2155
385,1969,8201
386,1970,8201
387,1982,5713
388,1988,4895
389,1983,5714
390,1988,6007
391,1988,7592
392,1991,2244
393,1987,4895
394,1988,6007
395,1988,7592
396,1991,2244
397,2003,1613
398,2003,1613
399,2014,5802
400,2015,5803
401,2021,4218
402,2023,2333
403,2024,7680
404,2021,4218
405,2023,2333
406,2024,7680
407,2039,6650
408,2039,6650
409,2046,5891
410,2046,5891
411,2055,2422
412,2059,8171
413,2055,2422
414,2060,7767
415,2059,8170
416,2060,7767
417,2075,5970
418,2079,4873
419,2075,5970
420,2079,4873
421,2087,2510
422,2091,1580
423,2087,2510
424,2096,6024
425,2092,1580
426,2096,7854
427,2096,6024
428,2096,7854
429,2102,4169
430,2102,4169
431,2109,5957
432,2109,5957
433,2118,3922
434,2120,2599
435,2121,3828
436,2115,3833
437,2122,4016
438,2118,3922
439,2120,2599
440,2121,3828
441,2126,4111
442,2122,4016
443,2128,4153
444,2127,6617
445,2130,4205
446,2126,4111
447,2131,6112
448,2127,6617
449,2128,4153
450,2132,7942
451,2134,4299
452,2130,4205
453,2131,6112
454,2132,7941
455,2137,3735
456,2138,4394
457,2134,4299
458,2137,3735
459,2141,4488
460,2138,4394
461,2145,4583
462,2141,4488
463,2148,4649
464,2149,4677
465,2148,8140
466,2145,4583
467,2152,2688
468,2152,4771
469,2148,4649
470,2148,8140
471,2153,3641
472,2149,4677
473,2155,4866
474,2152,2688
475,2152,4771
476,2154,3642
477,2155,4866
478,2162,4960
479,2166,6200
480,2162,4960
481,2168,8029
482,2170,3549
483,2166,6200
484,2172,5054
485,2169,8029
486,2170,3548
487,2172,5054
488,2180,1547
489,2183,5148
490,2180,1547
491,2184,2777
492,2186,3456
493,2183,5148
494,2184,2777
495,2186,3456
496,2193,5242
497,2197,4218
498,2193,5242
499,2197,5923
500,2200,6287
501,2197,4218
502,2197,5923
503,2202,3362
504,2203,5336
505,2205,8116
506,2200,6287
507,2202,3362
508,2203,5336
509,2208,5383
510,2205,8116
511,2208,5383
512,2213,5430
513,2216,6584
514,2216,2866
515,2212,5430
516,2218,3269
517,2221,5524
518,2216,6584
519,2217,2866
520,2218,3269
521,2221,5524
522,2229,5618
523,2235,3176
524,2229,5618
525,2235,6375
526,2237,4618
527,2238,5712
528,2237,8108
529,2235,3176
530,2235,6375
531,2237,4618
532,2238,5712
533,2237,8108
534,2247,3083
535,2246,5806
536,2249,2954
537,2246,5806
538,2247,3083
539,2249,2954
540,2255,5900
541,2258,2989
542,2255,5900
543,2258,2989
544,2265,4283
545,2269,1514
546,2265,4283
547,2270,6463
548,2269,1514
549,2270,6463
550,2282,1509
551,2283,3042
552,2285,5889
553,2281,1509
554,2283,3042
555,2285,5888
556,2297,5350
557,2297,5350
558,2304,6551
559,2305,3098
560,2304,6551
561,2305,3098
562,2313,1584
563,2313,1584
564,2318,3130
565,2318,3130
566,2326,4586
567,2326,8075
568,2326,4586
569,2326,8075
570,2334,4348
571,2334,4348
572,2350,1670
573,2351,3219
574,2350,1671
575,2351,3219
576,2372,1481
577,2373,5855
578,2372,1481
579,2374,5855
580,2385,3307
581,2385,5317
582,2388,1757
583,2385,3307
584,2385,5317
585,2388,1757
586,2394,3065
587,2394,6520
588,2394,3065
589,2394,6520
590,2402,4413
591,2403,4413
592,2415,4555
593,2414,8042
594,2418,3396
595,2414,8042
596,2415,4555
597,2418,3396
598,2425,1844
599,2425,1844
600,2451,3484
601,2451,3484
602,2462,1453
603,2462,1931
604,2462,5821
605,2462,1453
606,2462,1931
607,2462,5821
608,2471,4478
609,2474,5284
610,2471,4478
611,2474,5284
612,2482,3032
613,2483,6489
614,2484,3573
615,2482,3032
616,2483,6489
617,2484,3573
618,2499,2018
619,2503,8009
620,2499,2018
621,2504,4523
622,2503,8009
623,2504,4523
624,2518,3661
625,2518,3661
626,2536,2105
627,2536,2105
628,2550,5787
629,2551,3749
630,2552,1424
631,2550,5787
632,2551,3749
633,2552,1424
634,2563,5252
635,2563,5252
636,2571,2999
637,2573,6458
638,2573,2192
639,2571,2999
640,2573,2192
641,2573,6458
642,2584,3838
643,2584,3838
644,2591,7976
645,2593,4492
646,2591,7976
647,2593,4492
648,2610,2279
649,2610,2279
650,2617,3926
651,2612,3932
652,2617,3926
653,2638,5753
654,2642,1396
655,2638,5753
656,2642,1396
657,2647,2365
658,2650,4015
659,2652,5221
660,2647,2365
661,2651,4015
662,2652,5221
663,2659,2966
664,2662,6427
665,2659,2966
666,2662,6427
667,2667,5827
668,2667,5827
669,2680,7943
670,2682,4460
671,2684,4103
672,2684,2453
673,2680,7943
674,2682,4460
675,2684,4103
676,2685,2452
677,2704,5914
678,2704,5914
679,2717,4192
680,2722,2539
681,2717,4192
682,2725,5716
683,2722,2539
684,2725,5716
685,2732,1368
686,2732,1368
687,2741,6001
688,2741,5190
689,2741,5189
690,2741,6001
691,2748,2933
692,2750,4280
693,2751,6396
694,2748,2933
695,2750,4280
696,2751,6396
697,2759,2626
698,2757,2625
699,2759,2626
700,2768,7909
701,2771,4429
702,2768,7909
703,2771,4429
704,2778,6088
705,2778,6088
706,2783,4368
707,2783,4368
708,2796,2713
709,2796,2713
710,2813,5680
711,2814,6175
712,2813,5680
713,2819,4456
714,2815,6175
715,2822,1340
716,2819,4456
717,2822,1340
718,2830,5158
719,2833,2800
720,2830,5158
721,2836,2899
722,2833,2800
723,2836,2899
724,2840,6366
725,2840,6366
726,2851,6262
727,2851,6262
728,2857,4543
729,2857,7876
730,2857,4543
731,2857,7876
732,2870,2887
733,2870,2887
734,2888,6349
735,2888,6349
736,2894,4630
737,2894,4629
738,2900,5644
739,2900,5644
740,2906,6389
741,2906,6389
742,2912,1311
743,2912,1311
744,2920,5127
745,2925,2866
746,2920,5127
747,2925,2866
748,2932,4716
749,2932,4716
750,2944,6476
751,2945,7843
752,2944,6475
753,2945,7843
754,2956,2855
755,2956,2855
756,2970,4803
757,2970,4802
758,2987,5608
759,2987,5608
760,2993,2941
761,2994,2941
762,3003,1283
763,3003,1283
764,3008,4889
765,3009,5095
766,3008,4889
767,3009,5095
768,3017,6480
769,3017,6480
770,3031,3028
771,3034,7810
772,3031,3028
773,3034,7810
774,3046,4976
775,3046,4976
776,3068,3115
777,3068,3115
778,3074,5572
779,3075,5572
780,3084,5062
781,3084,5062
782,3093,1255
783,3093,1255
784,3106,3202
785,3106,6447
786,3106,3202
787,3106,6447
788,3122,7777
789,3122,7777
790,3130,5145
791,3130,5145
792,3143,3289
793,3143,3289
794,3162,5536
795,3162,5536
796,3176,5227
797,3180,3375
798,3176,5227
799,3183,1226
800,3180,3375
801,3183,1226
802,3194,6414
803,3194,6414
804,3210,7743
805,3211,7743
806,3218,3462
807,3218,3462
808,3223,5309
809,3223,5309
810,3249,5499
811,3249,5499
812,3255,3549
813,3255,3549
814,3270,5391
815,3273,1198
816,3270,5391
817,3273,1198
818,3283,6381
819,3283,6381
820,3292,3636
821,3292,3636
822,3299,7710
823,3299,7710
824,3316,5473
825,3316,5473
826,3330,3722
827,3330,3723
828,3341,5479
829,3341,5479
830,3358,5558
831,3358,5558
832,3363,1170
833,3363,1170
834,3367,3809
835,3367,3809
836,3371,6348
837,3371,6348
838,3387,7677
839,3387,7677
840,3398,5643
841,3398,5644
842,3404,3896
843,3405,3896
844,3434,5460
845,3434,5459
846,3438,5729
847,3442,3983
848,3439,5729
849,3442,3983
850,3452,1150
851,3452,1150
852,3460,6315
853,3460,6315
854,3476,7644
855,3479,5814
856,3479,4070
857,3476,7644
858,3479,4070
859,3479,5814
860,3507,5443
861,3507,5443
862,3516,4157
863,3519,5900
864,3517,4156
865,3519,5900
866,3525,5436
867,3525,5436
868,3548,6282
869,3551,5527
870,3548,6282
871,3551,5527
872,3559,5985
873,3560,5985
874,3564,7611
875,3567,6275
876,3564,7611
877,3567,6275
878,3579,4193
879,3579,4193
880,3595,5611
881,3595,5611
882,3600,6071
883,3600,6071
884,3612,5399
885,3612,5399
886,3639,5695
887,3640,6156
888,3639,5695
889,3640,6156
890,3653,7577
891,3655,6239
892,3655,6496
893,3653,7577
894,3655,6239
895,3655,6496
896,3666,6431
897,3660,6438
898,3671,6337
899,3666,6431
900,3671,4172
901,3671,4172
902,3671,6337
903,3676,6243
904,3676,6242
905,3683,5778
906,3683,5778
907,3699,5362
908,3699,5362
909,3741,7544
910,3741,7544
911,3747,6475
912,3747,6475
913,3763,4151
914,3763,4151
915,3786,5325
916,3786,5325
917,3830,7511
918,3830,7511
919,3839,6455
920,3842,4153
921,3839,6455
922,3842,4153
923,3872,4243
924,3873,5289
925,3872,4243
926,3873,5288
927,3902,4333
928,3902,4333
929,3918,7478
930,3918,7478
931,3931,4423
932,3932,6434
933,3931,4423
934,3932,6434
935,3960,5252
936,3961,4512
937,3960,5252
938,3961,4512
939,3990,4602
940,3990,4602
941,4007,7445
942,4007,7445
943,4020,4692
944,4024,6414
945,4020,4692
946,4024,6414
947,4037,7431
948,4037,7431
949,4047,5215
950,4049,4782
951,4047,5215
952,4050,4782
953,4062,7113
954,4064,7018
955,4062,7113
956,4064,7018
957,4070,6924
958,4070,6924
959,4077,7205
960,4078,6830
961,4079,4871
962,4076,7205
963,4079,4871
964,4079,6830
965,4098,6738
966,4101,7296
967,4098,6738
968,4101,7297
969,4109,4961
970,4109,4961
971,4116,6394
972,4116,6394
973,4124,6647
974,4125,7391
975,4124,6647
976,4134,5178
977,4134,6554
978,4137,6459
979,4138,5051
980,4134,5178
981,4134,6554
982,4137,6459
983,4138,5051
984,4168,5140
985,4168,5140
